id,way,center
1161,way/700691020,"-83.1078982,42.6431551"
1162,way/700715644,"-83.15787465,42.6304005"
1163,way/700978948,"-86.1723676,43.2099319"
1164,way/700978952,"-86.17264145,43.21068165"
1165,way/700978953,"-86.1726406,43.2104917"
1166,way/701144333,"-86.2372262,43.1884765"
1167,way/701144334,"-86.23722935,43.18816295"
1168,way/701144335,"-86.2372278,43.1883196"
1169,way/701422044,"-84.81809254999999,45.1318498"
1170,way/701425684,"-83.14226264999999,42.66435545"
1171,way/701477434,"-83.89148655,42.506136299999994"
1172,way/701656127,"-83.1510059,42.654517049999995"
1173,way/701974713,"-83.12981239999999,42.667395150000004"
1174,way/702925464,"-83.0619327,42.5844011"
1175,way/702960932,"-84.77864045000001,43.5989215"
1176,way/703502670,"-83.6123142,42.902846600000004"
1177,way/703513717,"-84.7416371,42.751764800000004"
1178,way/703618541,"-83.08182385,42.62261815"
1179,way/703930818,"-83.16353775,42.66818815"
1180,way/704164281,"-83.17655735,42.600055"
1181,way/704729486,"-83.85005565,42.947364"
1182,way/705218395,"-83.77467865,42.16438515"
1183,way/705218396,"-83.77465875,42.16389165"
1184,way/705455595,"-88.43609175,47.234974449999996"
1185,way/706111985,"-86.238249,43.09776665"
1186,way/706256399,"-83.18203159999999,42.6712751"
1187,way/706826039,"-82.99775405,43.80037195"
1188,way/707065718,"-83.17524750000001,42.2283422"
1189,way/709348279,"-85.6673001,42.84419685"
1190,way/709348280,"-85.66752195000001,42.84419565"
1191,way/711506877,"-84.7741392,45.441660850000005"
1192,way/712447431,"-85.87880625,42.87265855"
1193,way/712447432,"-85.87880390000001,42.87254285"
1194,way/712447433,"-85.87873815,42.8724265"
1195,way/713944405,"-86.2440184,45.9617767"
1196,way/716685337,"-83.15319274999999,42.2544408"
1197,way/716912620,"-84.80057105,42.9319916"
1198,way/716912621,"-84.8003938,42.9319864"
1199,way/720929392,"-84.01809145,44.03306925"
1200,way/722329074,"-83.41520084999999,42.689676899999995"
1201,way/722456294,"-85.62098764999999,42.893698650000005"
1202,way/723547268,"-84.52034555,42.70282265"
1203,way/725228046,"-83.32994529999999,42.27718085"
1204,way/729186467,"-85.1742131,44.7336184"
1205,way/730024606,"-83.74368115,42.188347449999995"
1206,way/734189809,"-83.19402295,42.56664595"
1207,way/735034527,"-83.630034,42.936322149999995"
1208,way/735176851,"-85.62850929999999,42.88251665"
1209,way/735420482,"-85.8519547,42.531346299999996"
1210,way/736154309,"-85.5920268,42.885742750000006"
1211,way/739603310,"-84.43218064999999,42.45438595"
1212,way/739603311,"-84.43218575,42.454116150000004"
1213,way/739606527,"-83.2609578,42.86812485"
1214,way/739708075,"-84.432468,42.442495050000005"
1215,way/741934357,"-82.46489505,42.923282400000005"
1216,way/747087003,"-83.082863,42.538009349999996"
1217,way/747876482,"-83.05269055,42.5290592"
1218,way/749062325,"-84.92445384999999,45.1569462"
1219,way/751134671,"-83.1353014,42.478528100000005"
1220,way/751385419,"-83.12400600000001,42.491118549999996"
1221,way/751976337,"-83.01459424999999,42.5134107"
1222,way/753529490,"-84.54449629999999,42.68432555"
1223,way/755301873,"-85.01656464999999,42.448720550000004"
1224,way/755346700,"-82.952104,42.357561700000005"
1225,way/755346701,"-82.95218895,42.3577136"
1226,way/755346707,"-82.9522727,42.3578683"
1227,way/756256864,"-82.87655914999999,42.459345850000005"
1228,way/756761155,"-82.91153125,42.4974706"
1229,way/756761156,"-82.9114182,42.4974738"
1230,way/757910667,"-83.40265355,43.482518850000005"
1231,way/758011256,"-84.47411445,42.7429905"
1232,way/758770113,"-85.55677845,42.30246595"
1233,way/759187907,"-86.27639070000001,42.39291775"
1234,way/759222266,"-83.61141945,41.7389723"
1235,way/759285145,"-84.3985947,42.713069"
1236,way/759661219,"-84.4243744,42.7359484"
1237,way/760792615,"-83.83327195000001,42.2778457"
1238,way/760869607,"-84.40466535,42.74459225"
1239,way/760869611,"-84.40490935,42.74592415"
1240,way/761116971,"-82.9436873,42.4826953"
1241,way/761116972,"-82.94349919999999,42.482690149999996"
1242,way/761116973,"-82.94331025,42.482684899999995"
1243,way/762456361,"-84.3986062,42.22900215"
1244,way/762456362,"-84.39859655000001,42.228833449999996"
1245,way/762461310,"-84.39785309999999,42.2361081"
1246,way/762461311,"-84.3976232,42.236109400000004"
1247,way/762462752,"-84.4230978,42.261736299999995"
1248,way/764223027,"-83.2035138,42.18175585"
1249,way/764444950,"-85.53702235,42.22903375"
1250,way/764444958,"-85.5330176,42.2347842"
1251,way/764444959,"-85.5331569,42.2347203"
1252,way/764444960,"-85.53317064999999,42.2348249"
1253,way/767402858,"-84.52914455,42.741775649999994"
1254,way/768969840,"-84.60009640000001,42.76771365"
1255,way/768969841,"-84.6000952,42.767550400000005"
1256,way/770690516,"-83.0503233,42.3580933"
1257,way/771943457,"-83.03802830000001,42.49670035"
1258,way/772010919,"-82.9654443,42.52034465"
1259,way/772010920,"-82.9653014,42.52034505"
1260,way/772031841,"-82.9556008,42.522958349999996"
1261,way/772031842,"-82.95545885000001,42.522961949999996"
1262,way/773619078,"-83.73508770000001,43.32920045"
1263,way/773893722,"-82.97662410000001,42.513442600000005"
1264,way/775651724,"-84.47698199999999,42.75500195"
1265,way/778981381,"-83.49692454999999,43.033912"
1266,way/779711633,"-83.05216204999999,42.414987499999995"
1267,way/779711634,"-83.05188774999999,42.4150006"
1268,way/779711635,"-83.0524097,42.41467985"
1269,way/779711636,"-83.05213565,42.4146928"
1270,way/779711637,"-83.0518624,42.414705100000006"
1271,way/779731286,"-83.64395025,43.0390503"
1272,way/779804085,"-83.0582317,42.4428894"
1273,way/781658861,"-85.62910579999999,43.00339165"
1274,way/781704174,"-85.61186205,43.0008226"
1275,way/781704209,"-85.62726275,42.976612450000005"
1276,way/781980671,"-83.9303093,42.64779735"
1277,way/782058465,"-83.7053608,43.051714849999996"
1278,way/782058474,"-83.5172063,43.0394789"
1279,way/789673942,"-83.43306530000001,42.5945109"
1280,way/790883954,"-84.85292595,43.1814018"
1281,way/793462740,"-83.20073475,42.76937015"
1282,way/798204327,"-83.03571135,42.48014325"
1283,way/798956762,"-84.9736983,45.34420455"
1284,way/799336206,"-83.7546381,42.499069"
1285,way/799423690,"-83.37224040000001,42.34764665"
1286,way/800184401,"-83.80877924999999,42.491523150000006"
1287,way/800523400,"-83.34096635,42.5558907"
1288,way/801334053,"-83.4872111,42.594946500000006"
1289,way/802237796,"-83.6139941,42.1709738"
1290,way/802577786,"-86.3357938,41.826002450000004"
1291,way/802983329,"-84.0503389,44.80467865"
1292,way/804327758,"-83.01307510000001,42.5944126"
1293,way/805109838,"-83.0577749,42.3394796"
1294,way/805390813,"-84.25801545,42.6916645"
1295,way/805506226,"-83.10637235,42.730745299999995"
1296,way/805506257,"-83.08916439999999,42.728548950000004"
1297,way/805530533,"-83.07518809999999,42.72694885"
1298,way/805530538,"-83.081023,42.72426745"
1299,way/806190365,"-83.4459491,42.64495865"
1300,way/806455969,"-84.6257289,42.732358000000005"
1301,way/806455970,"-84.62572465,42.73260595"
1302,way/806455973,"-84.62699315,42.7327942"
1303,way/807937807,"-82.52834505,42.98354915"
1304,way/807937875,"-82.53089994999999,42.98114045"
1305,way/808094873,"-82.5259753,42.982974049999996"
1306,way/809711710,"-84.6007382,43.40452395"
1307,way/809970283,"-82.5289985,42.9832563"
1308,way/813699298,"-84.1784489,42.4458682"
1309,way/813759243,"-84.41992795,42.7537612"
1310,way/813992447,"-84.23924135,41.7724029"
1311,way/814668720,"-83.2750598,43.83303305"
1312,way/816734321,"-86.00839325,42.11224155"
1313,way/816734333,"-86.00588010000001,42.110580299999995"
1314,way/816956137,"-83.2061373,42.7328233"
1315,way/818095473,"-83.48473795,42.12373895"
1316,way/819290769,"-85.2099841,44.979346500000005"
1317,way/821624686,"-85.25629875,43.8972415"
1318,way/823312681,"-85.24824595,45.169983"
1319,way/824733227,"-84.594661,42.73701385"
1320,way/825001626,"-84.49454115,42.74360485"
1321,way/826283410,"-84.59361100000001,42.7465925"
1322,way/830740447,"-85.74879275,42.9751173"
1323,way/832304379,"-84.51964665,42.785623150000006"
1324,way/832598065,"-84.25565555,42.2735903"
1325,way/832598066,"-84.2558183,42.27345185"
1326,way/832598067,"-84.25557545000001,42.2734164"
1327,way/832975887,"-87.96431394999999,46.5151136"
1328,way/832999852,"-84.41648105,45.65803635"
1329,way/833636719,"-83.1805689,42.71943065"
1330,way/833636730,"-83.17841825,42.72374345"
1331,way/834018783,"-84.48681035,42.73446865"
1332,way/834318332,"-83.38350865,42.31437325"
1333,way/835090701,"-84.57880595,42.67132745"
1334,way/836103147,"-83.3802839,42.420041100000006"
1335,way/836901009,"-84.5718576,42.75265765"
1336,way/838410686,"-84.23013420000001,45.36038505"
1337,way/838641961,"-88.44449664999999,46.7637426"
1338,way/839527035,"-83.4204685,45.07124435"
1339,way/839662386,"-85.05863975,43.13259155"
1340,way/839787647,"-85.12067755000001,45.157126149999996"
1341,way/839901272,"-84.6647961,45.1459828"
1342,way/839901283,"-84.66196165,45.14345415"
1343,way/840364949,"-84.4379713,42.6707201"
1344,way/840938361,"-85.24650460000001,45.3161685"
1345,way/841113337,"-85.06241115,44.8968498"
1346,way/841626895,"-84.23944259999999,43.615752799999996"
1347,way/842172290,"-84.46589259999999,45.652159350000005"
1348,way/843447622,"-84.2316132,43.627714499999996"
1349,way/843447625,"-84.23204915,43.6382019"
1350,way/843447629,"-84.220945,43.6362765"
1351,way/843447632,"-84.22356435,43.63846245"
1352,way/843447635,"-84.20302205,43.63787025"
1353,way/843447636,"-84.1914872,43.6314237"
1354,way/843447639,"-84.21997114999999,43.63195965"
1355,way/843447643,"-84.22232675000001,43.629550800000004"
1356,way/843447644,"-84.2184317,43.624248249999994"
1357,way/843447645,"-84.20385865,43.62407475"
1358,way/843447647,"-84.19946775,43.625098699999995"
1359,way/843486707,"-84.2620186,43.643740949999994"
1360,way/843486712,"-84.23826695,43.625341899999995"
1361,way/843486714,"-84.23015495,43.6121981"
1362,way/843486715,"-84.21408835,43.617534"
1363,way/843486719,"-84.2060645,43.6218987"
1364,way/843486727,"-84.25481395,43.6201573"
1365,way/844998734,"-84.23938145,43.621139549999995"
1366,way/845005134,"-84.18232415,43.6019548"
1367,way/845005137,"-84.20050219999999,43.6032949"
1368,way/845017592,"-84.18974994999999,43.60223675"
1369,way/846973955,"-87.60630655,45.101876700000005"
1370,way/847567793,"-83.8576961,42.069242599999995"
1371,way/847796162,"-84.60119345,41.898683500000004"
1372,way/854088687,"-85.29259540000001,42.651210199999994"
1373,way/854649533,"-84.9057173,43.66856425"
1374,way/854649534,"-84.90571925,43.66841245"
1375,way/856115234,"-84.7465139,41.8372351"
1376,way/856115235,"-84.74666769999999,41.837234699999996"
1377,way/857848469,"-85.94233535000001,43.48149135"
1378,way/858808495,"-83.49731125,41.795917450000005"
1379,way/858808496,"-83.49731505,41.796080700000005"
1380,way/860365822,"-84.38981385,42.19824075"
1381,way/860500520,"-83.3083273,42.52557915"
1382,way/860675420,"-83.25800535,42.38864235"
1383,way/863148908,"-83.47685125,41.73930215"
1384,way/863318267,"-83.48801814999999,41.75212595"
1385,way/863548933,"-85.636428,42.4433197"
1386,way/863548934,"-85.63670540000001,42.44348545"
1387,way/867562471,"-84.60827309999999,42.69577565"
1388,way/868757948,"-83.34020995,42.333816150000004"
1389,way/871500230,"-84.3430401,41.866983950000005"
1390,way/871509887,"-86.27902695,43.34180045"
1391,way/873220138,"-83.1955703,42.17314045"
1392,way/875539721,"-85.64570954999999,42.219902000000005"
1393,way/875607319,"-85.88095014999999,44.73771155"
1394,way/875840818,"-84.4918051,42.756761"
1395,way/875894964,"-85.83523514999999,44.6822662"
1396,way/876833328,"-85.7102413,42.8940887"
1397,way/877249079,"-84.41473225,42.71091595"
1398,way/877374243,"-82.962095,42.534662749999995"
1399,way/877547923,"-85.88424710000001,44.85445645"
1400,way/878291210,"-83.33271479999999,42.2733611"
1401,way/878650044,"-84.58153865,42.84205975"
1402,way/878797492,"-84.21879955,42.8298322"
1403,way/878797493,"-84.21898795,42.8298317"
1404,way/879507345,"-83.57092775,43.37135455"
1405,way/880766396,"-85.7529681,44.7470536"
1406,way/881251737,"-84.1196874,43.192809350000005"
1407,way/881251738,"-84.12266595,43.183519149999995"
1408,way/881472211,"-85.21398640000001,44.332274999999996"
1409,way/881670231,"-85.66147935000001,42.8796947"
1410,way/881843384,"-83.687946,42.19316705"
1411,way/884452748,"-86.32037935,43.20612915"
1412,way/884454040,"-86.2356962,43.092703900000004"
1413,way/884455236,"-86.22104365,43.0849537"
1414,way/884455694,"-86.18240180000001,43.038282949999996"
1415,way/884455695,"-86.1826645,43.03828"
1416,way/884457875,"-86.17275465,43.011904200000004"
1417,way/884458368,"-85.2433044,42.83984275"
1418,way/884459330,"-84.5269761,42.726533"
1419,way/884460690,"-84.274685,42.6922677"
1420,way/884460691,"-84.2732515,42.691823150000005"
1421,way/884460692,"-84.27335345,42.6913531"
1422,way/884460693,"-84.2734506,42.69128395"
1423,way/886366565,"-83.40996995,42.55814575"
1424,way/886857094,"-83.35226415,44.441547400000005"
1425,way/887215601,"-83.09454120000001,42.495354500000005"
1426,way/887636880,"-85.75867249999999,44.6073997"
1427,way/887638292,"-85.76224805000001,44.63399965"
1428,way/887638293,"-85.76205955,44.6339915"
1429,way/889361413,"-86.0680639,44.8121802"
1430,way/889959341,"-83.29337635,42.534648149999995"
1431,way/890500968,"-85.8535693,44.85293575"
1432,way/890542191,"-83.76427045,42.2090309"
1433,way/890839351,"-85.84921865,44.680171650000005"
1434,way/890844982,"-86.00904274999999,44.663305"
1435,way/890864068,"-86.22897599999999,44.6218525"
1436,way/892074213,"-85.5505493,43.5591077"
1437,way/892079992,"-85.63097665000001,43.49675045"
1438,way/892116172,"-85.7632674,44.6328059"
1439,way/892396454,"-85.9452731,44.5212665"
1440,way/892762481,"-83.58292255,41.80860695"
1441,way/892865834,"-86.0516925,44.618775150000005"
1442,way/892866210,"-86.2351025,44.635463200000004"
1443,way/893349027,"-85.65468755,44.862871"
1444,way/893349034,"-85.66200375,44.858596000000006"
1445,way/893387448,"-85.35566285,45.074451350000004"
1446,way/893965756,"-86.2063701,44.68990335"
1447,way/893980005,"-85.77229585,44.63052915"
1448,way/894072864,"-85.93844734999999,44.9606431"
1449,way/894107464,"-84.5528764,42.1021472"
1450,way/894324989,"-85.51891425,44.89266375"
1451,way/894763778,"-85.6747955,44.5028814"
1452,way/894768673,"-85.3613735,45.11178175"
1453,way/894958420,"-86.34185310000001,44.2456477"
1454,way/895658600,"-85.97033114999999,44.9125931"
1455,way/895737831,"-84.4304449,42.2471265"
1456,way/895737832,"-84.4304422,42.2469587"
1457,way/895750340,"-85.76083545,44.63453275"
1458,way/895750341,"-85.76068235,44.63452205"
1459,way/895985710,"-85.2784247,44.64039525"
1460,way/898054579,"-84.80164819999999,41.7753576"
1461,way/899057660,"-85.1886215,42.3338907"
1462,way/899057661,"-85.1884041,42.333894"
1463,way/899057662,"-85.1880798,42.333926"
1464,way/899684008,"-86.09083799999999,42.778253750000005"
1465,way/899684009,"-86.0908359,42.778117449999996"
1466,way/899684010,"-86.0908359,42.77798745"
1467,way/899915991,"-86.11353665,42.7780743"
1468,way/901429723,"-84.42014094999999,42.68745225"
1469,way/901988662,"-82.87542175,42.43597615"
1470,way/902150731,"-85.74027625,44.70735225"
1471,way/902860438,"-86.26529875,43.15425005"
1472,way/902861565,"-86.2844444,43.1959133"
1473,way/904849832,"-85.5600193,43.22553465"
1474,way/904866703,"-84.8327836,42.5469289"
1475,way/904895441,"-83.6619709,42.50993655"
1476,way/905707115,"-85.5247622,43.2923869"
1477,way/906199677,"-83.53078085,42.48298125"
1478,way/906199678,"-83.53441845,42.483705900000004"
1479,way/906232094,"-85.65079925,44.7818297"
1480,way/906971453,"-84.41958374999999,42.68382675"
1481,way/907476523,"-85.229964,44.40749615"
1482,way/907574727,"-84.41269510000001,42.6854366"
1483,way/908399039,"-83.25758164999999,42.41074535"
1484,way/908538984,"-85.9842661,44.88658465"
1485,way/908730141,"-86.14566694999999,44.420156750000004"
1486,way/908941555,"-84.4371814,42.6946856"
1487,way/913570252,"-83.2669105,42.32238255"
1488,way/914028689,"-85.33679125,42.23894865"
1489,way/914028691,"-85.33643380000001,42.2386561"
1490,way/914920143,"-85.75013805,45.0190271"
1491,way/918092020,"-84.10808115,42.2723338"
1492,way/921810482,"-85.2729066,42.3418184"
1493,way/922711999,"-84.44778289999999,42.69923395"
1494,way/922712000,"-84.44786105,42.6991117"
1495,way/923422364,"-83.2301179,42.52342965"
1496,way/923983523,"-83.8650124,41.83291485"
1497,way/923983524,"-83.86531175,41.83280915"
1498,way/923983533,"-83.87873075,41.838419599999995"
1499,way/924373475,"-83.22587215,42.5227432"
1500,way/924409987,"-83.41242725000001,41.9541541"
1501,way/924509795,"-85.0014809,45.2081074"
1502,way/924509796,"-85.0012057,45.20808835"
1503,way/924981738,"-83.46700105,42.324009950000004"
1504,way/925611514,"-83.4156678,42.5590726"
1505,way/927821093,"-84.5743826,42.708506799999995"
1506,way/928740691,"-84.43000105,42.6871365"
1507,way/929933372,"-87.61455480000001,45.105224500000006"
1508,way/929933373,"-87.61454855,45.10538285"
1509,way/931222910,"-83.41403875,42.563752"
1510,way/931222911,"-83.41413305,42.5637497"
1511,way/931222912,"-83.4142271,42.56374735"
1512,way/934116190,"-84.44750934999999,42.81745935"
1513,way/934483180,"-83.64968859999999,41.9493898"
1514,way/934483422,"-83.6438034,41.96256375"
1515,way/934864167,"-83.82394395,41.807077"
1516,way/935561567,"-83.3291722,42.5446302"
1517,way/936955222,"-84.2411837,41.72221825"
1518,way/937459994,"-83.64315435,42.4524117"
1519,way/940039348,"-84.57038605,42.69149590000001"
1520,way/940170825,"-86.13450864999999,42.75897735"
1521,way/940198793,"-84.40414185,42.7362325"
1522,way/940385806,"-83.20874115000001,42.39151685"
1523,way/940594275,"-84.80444895,44.0297264"
1524,way/940661025,"-85.6672677,44.68063635"
1525,way/941656231,"-83.11633375,42.48080005"
1526,way/941982560,"-84.4194527,41.73185235"
1527,way/942251702,"-85.6341386,42.90439755"
1528,way/943625229,"-83.00900195,42.6009801"
1529,way/943664924,"-85.59005450000001,44.76032845"
1530,way/944772584,"-83.4545118,42.508056249999996"
1531,way/944877936,"-84.3646056,42.69791255"
1532,way/945563357,"-84.42741385,42.708420450000006"
1533,way/946170062,"-84.43359455000001,42.7493342"
1534,way/946549696,"-83.81214410000001,42.58471185"
1535,way/946696707,"-84.3679127,42.696748400000004"
1536,way/946696715,"-84.3693477,42.6948665"
1537,way/946929518,"-83.12752334999999,42.478361449999994"
1538,way/946946138,"-84.4371653,42.715430299999994"
1539,way/948454591,"-83.5365673,42.6439273"
1540,way/949209844,"-83.383134,42.5234514"
1541,way/949909671,"-84.4298488,42.7355064"
1542,way/952482250,"-84.49111930000001,42.7724748"
1543,way/952509018,"-84.4103069,42.75944595"
1544,way/953031709,"-83.13300995,42.378349400000005"
1545,way/954011829,"-84.77980654999999,43.58345825"
1546,way/954083059,"-84.7435563,43.00773495"
1547,way/954254360,"-84.84076830000001,43.0938129"
1548,way/954254371,"-84.83980034999999,43.097592250000005"
1549,way/954254378,"-84.84125175,43.091312450000004"
1550,way/954777554,"-83.27270530000001,43.8249653"
1551,way/955062176,"-84.69314655,43.10211395"
1552,way/955126228,"-84.78967225,45.43962435"
1553,way/957208933,"-83.4302841,42.58120955"
1554,way/957225259,"-83.177417,42.49273585"
1555,way/957532231,"-85.14794025,44.10097195"
1556,way/957532232,"-85.14772495,44.1009744"
1557,way/957582585,"-84.4874307,42.7372654"
1558,way/957922620,"-85.08902565,44.2442095"
1559,way/958215917,"-85.12269495000001,42.1056859"
1560,way/958286989,"-85.26747950000001,43.9076652"
1561,way/958286990,"-85.2672476,43.907067049999995"
1562,way/958287001,"-85.2611646,43.904230299999995"
1563,way/958287002,"-85.2613154,43.904229"
1564,way/958287003,"-85.261468,43.9042277"
1565,way/959556662,"-84.74981994999999,43.57912465"
1566,way/959788825,"-83.4457634,42.67220315"
1567,way/961966885,"-88.40911165,47.18829445"
1568,way/962419233,"-85.00165319999999,44.466461550000005"
1569,way/962959441,"-83.375289,43.8500775"
1570,way/963073382,"-83.39900925,42.499422800000005"
1571,way/963987918,"-83.2331163,43.81827185"
1572,way/964513899,"-83.061882,42.32936155"
1573,way/965170122,"-84.4963261,42.768093449999995"
1574,way/965170150,"-84.4953062,42.768190849999996"
1575,way/965274095,"-84.4856558,42.76193285"
1576,way/965288158,"-83.25457465,42.604358000000005"
1577,way/965401683,"-84.48234275,42.77208815"
1578,way/965445572,"-84.49065305,42.7532284"
1579,way/965664629,"-83.2416197,42.51327365"
1580,way/966267598,"-84.47153355,42.759503699999996"
1581,way/966564453,"-83.18665535,42.52956705"
1582,way/966564454,"-83.18651305,42.52957015"
1583,way/967375291,"-84.49851029999999,42.75937035"
1584,way/967375328,"-84.49861304999999,42.7582388"
1585,way/967375335,"-84.49735035,42.757504600000004"
1586,way/967620157,"-84.49434325,42.75592775"
1587,way/968511355,"-84.5693868,42.686743"
1588,way/968555561,"-84.46534489999999,42.760524950000004"
1589,way/970382243,"-83.33384989999999,42.61909275"
1590,way/971156178,"-83.4409986,42.202123150000006"
1591,way/971215594,"-84.67313835,45.02512635"
1592,way/972114754,"-83.54243729999999,42.26671035"
1593,way/972117363,"-83.44446835,42.2709077"
1594,way/972399981,"-85.53852175,42.23182585"
1595,way/972678030,"-85.66496805,42.97398015"
1596,way/974167015,"-85.6233048,42.147439250000005"
1597,way/974460978,"-84.5479376,42.7571262"
1598,way/974460979,"-84.54793315,42.7574602"
1599,way/975021740,"-83.07881255,42.37705205"
1600,way/975021741,"-83.0790101,42.3769789"
1601,way/976053016,"-83.02761665,42.3378985"
1602,way/976122046,"-83.19311730000001,42.567169899999996"
1603,way/976140582,"-85.54179275,42.1235706"
1604,way/976142012,"-86.3381574,43.2270714"
1605,way/976465717,"-83.1337128,42.4671281"
1606,way/976522318,"-85.50707645,46.33098235"
1607,way/976522321,"-85.50730680000001,46.33097805"
1608,way/977366398,"-83.11050800000001,42.46966425"
1609,way/977366417,"-83.12066415000001,42.47208585"
1610,way/977467873,"-83.72544295,42.274890049999996"
1611,way/978824966,"-82.99335955000001,44.047888"
1612,way/978830197,"-83.03120824999999,42.3866931"
1613,way/979670536,"-85.65065725,44.82325125"
1614,way/979803750,"-84.5088529,42.7642473"
1615,way/979803751,"-84.50885915,42.764098399999995"
1616,way/979803752,"-84.5086861,42.7642406"
1617,way/979803753,"-84.50867554999999,42.76409185"
1618,way/980556394,"-83.15912155000001,42.63404715"
1619,way/981036441,"-84.0469143,41.8912266"
1620,way/981086098,"-84.29716339999999,45.3565408"
1621,way/981237287,"-84.50650335,42.7495627"
1622,way/981318843,"-83.02127060000001,42.341245650000005"
1623,way/981457699,"-85.55781594999999,42.3024005"
1624,way/981822412,"-84.33079765,46.4823333"
1625,way/981822413,"-84.33045765,46.482324500000004"
1626,way/981829161,"-84.4867886,42.7722825"
1627,way/982063522,"-85.51267035000001,46.35144135"
1628,way/982063523,"-85.51285250000001,46.3514403"
1629,way/982063524,"-85.51270155,46.351141600000005"
1630,way/982302611,"-84.50532899999999,42.74618615"
1631,way/982307439,"-85.7077114,42.932837199999994"
1632,way/983357070,"-85.1433072,43.593383849999995"
1633,way/983357071,"-85.1430687,43.593382250000005"
1634,way/983990032,"-84.987168,42.092585549999995"
1635,way/984879395,"-84.48438535,42.73908675"
1636,way/985111417,"-84.4859314,42.742188299999995"
1637,way/985111418,"-84.4856456,42.74218675"
1638,way/985148509,"-84.48272965,42.7521459"
1639,way/985658203,"-83.2595456,42.529234849999995"
1640,way/985658205,"-83.25943649999999,42.52710295"
1641,way/985658248,"-83.25974185,42.5290426"
1642,way/986030716,"-84.52210495,42.7420566"
1643,way/986414356,"-83.20928810000001,42.5700106"
1644,way/986417066,"-85.67843045000001,42.27667725"
1645,way/986824673,"-83.05786925000001,42.626112649999996"
1646,way/987188177,"-85.61239225,42.30362725"
1647,way/987435243,"-83.96715520000001,42.44088075"
1648,way/988341938,"-84.07315175,43.4183758"
1649,way/989159655,"-85.5657679,42.1716186"
1650,way/989227190,"-85.54981294999999,42.3120445"
1651,way/990648291,"-85.23115684999999,42.39718825"
1652,way/991710524,"-84.46904660000001,42.762264"
1653,way/991717222,"-85.59411209999999,42.274561500000004"
1654,way/991749187,"-85.6301132,42.119060149999996"
1655,way/992444403,"-84.46997635,42.757017899999994"
1656,way/992724050,"-85.591499,42.1945811"
1657,way/992724059,"-85.59112110000001,42.19404485"
1658,way/993291787,"-84.4548376,42.74895395"
1659,way/993334861,"-84.4509369,42.7489803"
1660,way/993431560,"-84.45492385,42.7426489"
1661,way/993624082,"-83.76208905,42.6941327"
1662,way/994006588,"-85.5175854,42.191431449999996"
1663,way/995119874,"-85.90985205,42.962942999999996"
1664,way/995270013,"-85.90743615,42.9558066"
1665,way/995299257,"-85.73090350000001,44.86710615"
1666,way/995933843,"-86.01205475,41.91767935"
1667,way/995960826,"-86.4209826,43.807034099999996"
1668,way/996085792,"-84.52650295000001,42.7624612"
1669,way/997218694,"-84.98744500000001,45.436796349999995"
1670,way/997218696,"-84.9886384,45.437529600000005"
1671,way/997252890,"-85.58684260000001,44.773094400000005"
1672,way/997326241,"-83.6615848,42.703164650000005"
1673,way/997798120,"-85.36387135000001,44.2845918"
1674,way/998226473,"-85.59702290000001,44.7443761"
1675,way/998226475,"-85.5988644,44.7499967"
1676,way/998405656,"-85.68027905,44.66910235"
1677,way/998508314,"-85.27078879999999,45.307768100000004"
1678,way/1002004524,"-83.47315415,42.723338749999996"
1679,way/1002088404,"-83.2273931,42.521996349999995"
1680,way/1002616992,"-83.32232955,42.09750045"
1681,way/1002687012,"-85.5995732,42.3052869"
1682,way/1003003150,"-83.36774915000001,42.1233289"
1683,way/1003003151,"-83.3679148,42.123268350000004"
1684,way/1003094289,"-84.510186,42.75178685"
1685,way/1003094290,"-84.51164275,42.752001050000004"
1686,way/1003094298,"-84.50954185,42.7529142"
1687,way/1003094309,"-84.5093557,42.75467865"
1688,way/1003094310,"-84.50938389999999,42.7550267"
1689,way/1003177911,"-84.5117655,42.754062"
1690,way/1003177916,"-84.51250585,42.75523475"
1691,way/1003275053,"-84.51162675,42.751324499999996"
1692,way/1003521366,"-84.5169788,42.7553689"
1693,way/1004072701,"-84.51431925,42.751172249999996"
1694,way/1004105546,"-85.44610625,42.37462825"
1695,way/1004105547,"-85.44621455000001,42.3746272"
1696,way/1004753417,"-84.52054675,42.74886175"
1697,way/1004931449,"-83.3937153,42.6397226"
1698,way/1004931456,"-83.39409965,42.6285237"
1699,way/1005017565,"-83.35289125,42.55575915"
1700,way/1005017566,"-83.3531689,42.55571705"
1701,way/1005589437,"-85.9751814,44.0736076"
1702,way/1005611066,"-85.60699055,42.2782748"
1703,way/1006242010,"-83.71798135,42.27761365"
1704,way/1006441302,"-83.7711065,42.506985799999995"
1705,way/1006441313,"-83.77093454999999,42.506336250000004"
1706,way/1007130107,"-85.74485275,43.47385595"
1707,way/1007637987,"-84.5477243,42.7703719"
1708,way/1007668873,"-85.5773604,42.2708692"
1709,way/1007673825,"-85.57001969999999,42.2726172"
1710,way/1008115519,"-85.5471202,42.30711655"
1711,way/1008727110,"-84.4396768,42.779447"
1712,way/1009149985,"-84.43260670000001,42.7721352"
1713,way/1009149994,"-84.42968785,42.7722725"
1714,way/1009160968,"-84.420109,42.77641315"
1715,way/1009770246,"-85.5830014,42.2272558"
1716,way/1009935854,"-86.0927021,44.6288589"
1717,way/1010830525,"-85.76475314999999,44.379896"
1718,way/1010979761,"-83.3148213,42.673077750000004"
